"gene","n","spearman_rho","p_value","p_adj_BH","abs_rho","direction"
"RNF41",266,0.540740976885717,1.33597867853664e-21,7.1279233852353e-19,0.540740976885717,"Positive"
"SPON2",266,0.538860082153656,1.95682609131318e-21,1.00803534407336e-18,0.538860082153656,"Positive"
"CPNE4",266,0.538632462011505,2.04899452239551e-21,1.02033097233555e-18,0.538632462011505,"Positive"
"HSD17B4",266,0.536401529581852,3.21108683716373e-21,1.54743310517384e-18,0.536401529581852,"Positive"
"FOXA1",266,0.53604766633565,3.4472056188331e-21,1.60930639811712e-18,0.53604766633565,"Positive"
"HSD17B12",266,0.535420276364007,3.90852237602359e-21,1.76937623561868e-18,0.535420276364007,"Positive"
"ENPP5",266,0.53298212671811,6.35199459878144e-21,2.79095433268223e-18,0.53298212671811,"Positive"
"DEGS1",266,0.531774528540984,8.06744465655657e-21,3.37358790979252e-18,0.531774528540984,"Positive"
"PLPP1",266,0.531735635463473,8.12967164820474e-21,3.37358790979252e-18,0.531735635463473,"Positive"
"NDRG3",266,0.530419646742466,1.05373432364009e-20,4.25452352996199e-18,0.530419646742466,"Positive"
"PDLIM5",266,0.52958248918884,1.24206010680176e-20,4.88293050934511e-18,0.52958248918884,"Positive"
"REEP5",266,0.529091543784201,1.36750644464146e-20,5.23825096833301e-18,0.529091543784201,"Positive"
"ERGIC1",266,0.527746225857202,1.77864196761673e-20,6.62243358743727e-18,0.527746225857202,"Positive"
"RWDD2A",266,0.527635284947582,1.81752310787153e-20,6.62243358743727e-18,0.527635284947582,"Positive"
"STX19",266,0.525655647331551,2.66982462092492e-20,9.49631190761842e-18,0.525655647331551,"Positive"
"CDYL2",266,0.523446309222282,4.08862475731221e-20,1.42046430812761e-17,0.523446309222282,"Positive"
"HSPA9",266,0.521918002553554,5.48060042243952e-20,1.86078840251873e-17,0.521918002553554,"Positive"
"ARHGAP6",266,0.519257971088416,9.0946237823538e-20,3.01921299299074e-17,0.519257971088416,"Positive"
"RANBP3L",266,0.518999746557405,9.550687318044e-20,3.10168951835346e-17,0.518999746557405,"Positive"
"RASEF",266,0.518845449430232,9.83384731499835e-20,3.12569883061192e-17,0.518845449430232,"Positive"
"DCTN4",266,0.516692303155599,1.47611050190236e-19,4.59408641414987e-17,0.516692303155599,"Positive"
"BEND4",266,0.514952818159287,2.04510043392583e-19,6.23505211886081e-17,0.514952818159287,"Positive"
"TMEM168",266,0.514483048834722,2.23262347137518e-19,6.67063240777478e-17,0.514483048834722,"Positive"
"DMXL1",266,0.513100750604516,2.88792830941973e-19,8.45936490478851e-17,0.513100750604516,"Positive"
"SEC22C",266,0.510320851949675,4.82873248386061e-19,1.38723912646911e-16,0.510320851949675,"Positive"
"PLEKHH1",266,0.508680966779892,6.52491730016728e-19,1.83916489711696e-16,0.508680966779892,"Positive"
"NAP1L2",266,0.508434856486138,6.82552017512728e-19,1.88826751659679e-16,0.508434856486138,"Positive"
"CDC25B",266,-0.507908843552596,7.51432682057131e-19,2.04102778859118e-16,0.507908843552596,"Negative"
"TMPRSS2",266,0.507683217108373,7.83029220664542e-19,2.0690353246909e-16,0.507683217108373,"Positive"
"FAM174A",266,0.507638504784327,7.89443828284231e-19,2.0690353246909e-16,0.507638504784327,"Positive"
"RUNDC1",266,0.506430269015766,9.83721644073688e-19,2.5337616622098e-16,0.506430269015766,"Positive"
"POMGNT1",266,0.505806067001296,1.10176201944639e-18,2.78969878110332e-16,0.505806067001296,"Positive"
"PLA2G12A",266,0.50320724431388,1.76162563406983e-18,4.38615422456153e-16,0.50320724431388,"Positive"
"MFSD2A",266,-0.501898906690088,2.22777391822363e-18,5.45585484661357e-16,0.501898906690088,"Negative"
"ARG2",266,0.501590950027177,2.35399952958626e-18,5.67199983427244e-16,0.501590950027177,"Positive"
"FLNB",266,0.500866008566041,2.67951121250354e-18,6.35384412755403e-16,0.500866008566041,"Positive"
"GOLPH3L",266,0.498830816706808,3.84819176861998e-18,8.98252137990841e-16,0.498830816706808,"Positive"
"ZG16B",266,0.49838848508097,4.16183260990946e-18,9.56517190145191e-16,0.49838848508097,"Positive"
"PMEPA1",266,0.496558440833906,5.74836713948778e-18,1.30113419237588e-15,0.496558440833906,"Positive"
"ANKH",266,0.495732759926103,6.64587970186058e-18,1.4818327890462e-15,0.495732759926103,"Positive"
"WTH3DI",266,0.494652927281751,8.02968104900525e-18,1.74011056785561e-15,0.494652927281751,"Positive"
"TRNT1",266,0.49464757930442,8.03719319780687e-18,1.74011056785561e-15,0.49464757930442,"Positive"
"NRP1",266,0.493847402054001,9.24246956675935e-18,1.97247504082597e-15,0.493847402054001,"Positive"
"LONP2",266,0.493593640663031,9.66049888056528e-18,2.03265060248964e-15,0.493593640663031,"Positive"
"RGMB",266,0.493395349726872,1.00000109919276e-17,2.07486339178342e-15,0.493395349726872,"Positive"
"PURA",266,0.493144776293075,1.04458242174957e-17,2.1376735340434e-15,0.493144776293075,"Positive"
"CWH43",266,0.490738332058772,1.58515145460633e-17,3.20007805140054e-15,0.490738332058772,"Positive"
"SCRN3",266,0.489870744276421,1.84087138467125e-17,3.66677034874718e-15,0.489870744276421,"Positive"
"TMEM192",266,0.489791682938531,1.86609299912021e-17,3.66810043603378e-15,0.489791682938531,"Positive"
"PLEKHG3",266,-0.488762610363092,2.22698495193641e-17,4.32064002558156e-15,0.488762610363092,"Negative"
"TMEM268",266,0.48791206338934,2.57623765645453e-17,4.93415568586848e-15,0.48791206338934,"Positive"
"TLK1",266,0.486878527673859,3.07347688214167e-17,5.79133820790703e-15,0.486878527673859,"Positive"
"FAM117B",266,0.486825607584788,3.10132576901106e-17,5.79133820790703e-15,0.486825607584788,"Positive"
"SAR1B",266,0.486439227175422,3.31229395082301e-17,6.10893325078333e-15,0.486439227175422,"Positive"
"SPOCK1",266,0.486127444963904,3.49273670233599e-17,6.36316995075577e-15,0.486127444963904,"Positive"
"MPC2",266,0.485936167533525,3.60817296248234e-17,6.49427661283418e-15,0.485936167533525,"Positive"
"CCNG2",266,0.485621197364835,3.80646221096026e-17,6.76961178208754e-15,0.485621197364835,"Positive"
"CANT1",266,0.484954914315681,4.26178956328708e-17,7.4902205042289e-15,0.484954914315681,"Positive"
"FSD1",266,-0.483884426255132,5.10749583498383e-17,8.87219538125854e-15,0.483884426255132,"Negative"
"MCCC2",266,0.483746040955686,5.22818442072804e-17,8.90987599557468e-15,0.483746040955686,"Positive"
"F3",266,0.48372308766404,5.24847103293776e-17,8.90987599557468e-15,0.48372308766404,"Positive"
"NKX3-1",266,0.483506306576277,5.44391395473601e-17,9.13782365952823e-15,0.483506306576277,"Positive"
"MAP3K5",266,0.483205363419148,5.72711148585105e-17,9.50636872079209e-15,0.483205363419148,"Positive"
"TMED7",266,0.481272186189451,7.92317277083115e-17,1.30070635190601e-14,0.481272186189451,"Positive"
"TMC4",266,0.480411437752745,9.14907809991818e-17,1.48563127972476e-14,0.480411437752745,"Positive"
"SLC6A11",266,0.479875529320874,1.00043318714383e-16,1.60703993362814e-14,0.479875529320874,"Positive"
"URI1",266,0.479398942554606,1.08304302445619e-16,1.72123188748415e-14,0.479398942554606,"Positive"
"TMEM245",266,0.479219141770049,1.11591605424691e-16,1.75480736151522e-14,0.479219141770049,"Positive"
"ATP8A1",266,0.479013837328109,1.15464898533585e-16,1.79680220749294e-14,0.479013837328109,"Positive"
"COLEC12",266,0.478605141218533,1.2357176744028e-16,1.90313261215499e-14,0.478605141218533,"Positive"
"CCDC150",266,-0.477900602683304,1.38876308636716e-16,2.11701344359582e-14,0.477900602683304,"Negative"
"TOB2",266,0.477544826662799,1.47295916348073e-16,2.22268049931703e-14,0.477544826662799,"Positive"
"NSF",266,0.477107438938665,1.58334799901478e-16,2.36536357572817e-14,0.477107438938665,"Positive"
"ERBB2",266,0.475521749040823,2.05582283239877e-16,3.03058728142964e-14,0.475521749040823,"Positive"
"RASSF8",266,0.475482218371878,2.06921415560495e-16,3.03058728142964e-14,0.475482218371878,"Positive"
"TXNDC15",266,0.475162147471711,2.18083577835755e-16,3.16305880513431e-14,0.475162147471711,"Positive"
"SLC9A7",266,0.474921137909433,2.26875996469118e-16,3.2295926315645e-14,0.474921137909433,"Positive"
"ARL1",266,0.47491794995226,2.26994595564812e-16,3.2295926315645e-14,0.47491794995226,"Positive"
"TRIB1",266,0.474767478373696,2.32662127519499e-16,3.27899955001301e-14,0.474767478373696,"Positive"
"CAB39L",266,0.474700531273063,2.35228058980088e-16,3.28417941411546e-14,0.474700531273063,"Positive"
"TCTN3",266,0.474229351202896,2.54088584251936e-16,3.51465681494414e-14,0.474229351202896,"Positive"
"TOB1",266,0.474067402978508,2.60907220900491e-16,3.5758651128738e-14,0.474067402978508,"Positive"
"TSPAN1",266,0.472916550439061,3.14804030087052e-16,4.27532491406407e-14,0.472916550439061,"Positive"
"ALG2",266,0.470975084520715,4.31447314515031e-16,5.80665894733337e-14,0.470975084520715,"Positive"
"RAB4A",266,0.469105028843043,5.83394269552045e-16,7.78154195789107e-14,0.469105028843043,"Positive"
"CASC4",266,0.469017678816503,5.91647743903148e-16,7.82179260722932e-14,0.469017678816503,"Positive"
"TMEM69",266,0.468456598354058,6.47457090534923e-16,8.44524821835335e-14,0.468456598354058,"Positive"
"SLC45A3",266,0.468431094696674,6.50112822217441e-16,8.44524821835335e-14,0.468431094696674,"Positive"
"AMD1",266,0.468093171236338,6.86324996716021e-16,8.83880097063848e-14,0.468093171236338,"Positive"
"NDFIP1",266,0.46777310033617,7.22442477429326e-16,9.22441723958692e-14,0.46777310033617,"Positive"
"CSNK1A1",266,0.467486184190602,7.56396892168026e-16,9.57611285771029e-14,0.467486184190602,"Positive"
"LUZP2",266,0.467380004418606,7.69354742117755e-16,9.65831133823289e-14,0.467380004418606,"Positive"
"SH3BP2",266,-0.466219927601493,9.25885235252519e-16,1.15264996078645e-13,0.466219927601493,"Negative"
"NUDT19",266,0.465924722767274,9.70455705327582e-16,1.19815188280072e-13,0.465924722767274,"Positive"
"RAB18",266,0.465331762733099,1.06642369787679e-15,1.28660589343335e-13,0.465331762733099,"Positive"
"ACACA",266,0.465324749227319,1.06761266155848e-15,1.28660589343335e-13,0.465324749227319,"Positive"
"TRIM36",266,0.465322836453015,1.0679371496468e-15,1.28660589343335e-13,0.465322836453015,"Positive"
"LIMCH1",266,0.464104399221501,1.29553356260125e-15,1.54831807133601e-13,0.464104399221501,"Positive"
"TESK2",266,0.46353694284471,1.41713266642388e-15,1.68020197648463e-13,0.46353694284471,"Positive"
"HIST2H2BE",266,0.463474458884119,1.43118664831013e-15,1.68350372748858e-13,0.463474458884119,"Positive"
"PNPLA3",266,-0.462887953842123,1.56993603861582e-15,1.83228706881888e-13,0.462887953842123,"Negative"
"SLC44A4",266,0.462609884898806,1.64024064608495e-15,1.89950038851651e-13,0.462609884898806,"Positive"
"SLC35E1",266,0.462507870269271,1.66679859829248e-15,1.91540801999165e-13,0.462507870269271,"Positive"
"GREB1",266,0.461882393071931,1.83908249949818e-15,2.08804951054157e-13,0.461882393071931,"Positive"
"SERINC5",266,0.461861990146024,1.84498651443528e-15,2.08804951054157e-13,0.461861990146024,"Positive"
"OR51E1",266,0.461680570950836,1.89830675716472e-15,2.12321639066832e-13,0.461680570950836,"Positive"
"NUDT9",266,0.461659873661257,1.9044848808458e-15,2.12321639066832e-13,0.461659873661257,"Positive"
"TTC8",266,0.461361480869866,1.99577356502399e-15,2.20850824354765e-13,0.461361480869866,"Positive"
"EDA",266,0.461026745366703,2.10328421254095e-15,2.31036491552567e-13,0.461026745366703,"Positive"
"CTB-16J4",266,0.460784417646952,2.18463338965995e-15,2.38220716847665e-13,0.460784417646952,"Positive"
"IFT57",266,0.460641640140206,2.23399756651717e-15,2.41838330769565e-13,0.460641640140206,"Positive"
"DOLK",266,0.459493337966498,2.67278890152219e-15,2.87257506473669e-13,0.459493337966498,"Positive"
"AIDA",266,0.458872323909201,2.94416687414664e-15,3.14163635234833e-13,0.458872323909201,"Positive"
"CAMLG",266,0.458644066175615,3.05054584972169e-15,3.23206414531861e-13,0.458644066175615,"Positive"
"ATP6AP1",266,0.458416446033464,3.16037183422546e-15,3.31305771081093e-13,0.458416446033464,"Positive"
"CDS1",266,0.458394130333253,3.1713451546018e-15,3.31305771081093e-13,0.458394130333253,"Positive"
"C8ORF34",266,0.458185962556395,3.27552104673149e-15,3.39812561924456e-13,0.458185962556395,"Positive"
"SLC22A5",266,0.45807469702452,3.33256924452223e-15,3.43346565130466e-13,0.45807469702452,"Positive"
"FICD",266,0.457468347570219,3.66097242615765e-15,3.70925010967569e-13,0.457468347570219,"Positive"
"LARS",266,0.457461971655873,3.6645886472654e-15,3.70925010967569e-13,0.457461971655873,"Positive"
"PLPPR2",266,0.457398212512413,3.70094371354678e-15,3.70925010967569e-13,0.457398212512413,"Positive"
"NIPSNAP3B",266,0.45738673586659,3.70752501452401e-15,3.70925010967569e-13,0.45738673586659,"Positive"
"SLC25A17",266,0.457357406660599,3.72439598668822e-15,3.70925010967569e-13,0.457357406660599,"Positive"
"CDK19",266,0.456992066768575,3.94095324176601e-15,3.89893380653924e-13,0.456992066768575,"Positive"
"GPR107",266,0.456770184949335,4.07844068610062e-15,4.00840956642481e-13,0.456770184949335,"Positive"
"ASGR1",266,-0.456657331265412,4.1501598756543e-15,4.05223780277121e-13,0.456657331265412,"Negative"
"LANCL1",266,0.456028666110899,4.57285161633741e-15,4.43596300626393e-13,0.456028666110899,"Positive"
"GALNT11",266,0.455776817494234,4.75376134590314e-15,4.58170585460948e-13,0.455776817494234,"Positive"
"CANX",266,0.454862511377022,5.47134019120092e-15,5.23950968694555e-13,0.454862511377022,"Positive"
"SESN1",266,0.45426572579424,5.9958122380226e-15,5.7051871989694e-13,0.45426572579424,"Positive"
"NAALADL2",266,0.452725304888254,7.58758748368766e-15,7.17411198853228e-13,0.452725304888254,"Positive"
"PRKD1",266,0.45257355812682,7.76513581818411e-15,7.26431252885431e-13,0.45257355812682,"Positive"
"ARHGEF2",266,-0.452560806298128,7.78023967211118e-15,7.26431252885431e-13,0.452560806298128,"Negative"
"PDE4B",266,0.45198952437273,8.48720053663492e-15,7.87517321843411e-13,0.45198952437273,"Positive"
"ST6GALNAC2",266,-0.451926402820705,8.56906714253671e-15,7.90205518779975e-13,0.451926402820705,"Negative"
"GTPBP2",266,-0.451821200233996,8.70723171721792e-15,7.95618211316709e-13,0.451821200233996,"Negative"
"CYB561",266,0.451800797308089,8.73427850966867e-15,7.95618211316709e-13,0.451800797308089,"Positive"
"APLP2",266,0.451654788869566,8.93024571874402e-15,8.08539035104951e-13,0.451654788869566,"Positive"
"SEC23B",266,0.450794040432861,1.01760264104901e-14,9.15781075580186e-13,0.450794040432861,"Positive"
"SGMS1",266,0.450457392155394,1.07082028492802e-14,9.57903247696989e-13,0.450457392155394,"Positive"
"ATP6V1G1",266,0.449877821541345,1.16888742866385e-14,1.03940531528627e-12,0.449877821541345,"Positive"
"INPP5A",266,0.449813424806451,1.1803116338909e-14,1.04335357980451e-12,0.449813424806451,"Positive"
"RIOX2",266,0.449455098420208,1.24590311628482e-14,1.09485568553993e-12,0.449455098420208,"Positive"
"KSR1",266,-0.448797741651139,1.37562837417205e-14,1.20178434396235e-12,0.448797741651139,"Negative"
"TRIM68",266,0.448402434961689,1.45990669934588e-14,1.26799687101908e-12,0.448402434961689,"Positive"
"SYNGR2",266,0.447933167665826,1.56652486922991e-14,1.35273497233674e-12,0.447933167665826,"Positive"
"ATP11B",266,0.44760927121705,1.6445191478208e-14,1.41192365225833e-12,0.44760927121705,"Positive"
"RAB5B",266,0.447347858728866,1.71022585875413e-14,1.45994652022445e-12,0.447347858728866,"Positive"
"DEFB1",266,-0.447227420143434,1.7413559109768e-14,1.47807477011831e-12,0.447227420143434,"Negative"
"DTWD2",266,0.447182722547305,1.75304945562419e-14,1.47959354901524e-12,0.447182722547305,"Positive"
"SERP1",266,0.446656709613763,1.89656668213133e-14,1.59173088002022e-12,0.446656709613763,"Positive"
"ORC5",266,0.445750692185201,2.17116210574014e-14,1.81201065350011e-12,0.445750692185201,"Positive"
"SH3RF1",266,0.445581730455033,2.22650843864883e-14,1.84787830916527e-12,0.445581730455033,"Positive"
"C3ORF33",266,0.445526897591658,2.24476467296316e-14,1.85273698615451e-12,0.445526897591658,"Positive"
"C5ORF15",266,0.445473977502586,2.26252285064732e-14,1.85713345416595e-12,0.445473977502586,"Positive"
"TMED4",266,0.445363674184401,2.29997964448915e-14,1.87756261797942e-12,0.445363674184401,"Positive"
"CARHSP1",266,-0.444578799128413,2.58458697464173e-14,2.09843178337896e-12,0.444578799128413,"Negative"
"ABCC4",266,0.44345217506348,3.05416328859084e-14,2.46627812801398e-12,0.44345217506348,"Positive"
"PLA2G7",266,0.4430249888023,3.25321540839429e-14,2.6128916659141e-12,0.4430249888023,"Positive"
"SFRP5",266,-0.442978677110687,3.27554224453554e-14,2.61675537920409e-12,0.442978677110687,"Negative"
"GLO1",266,0.442787167197196,3.36947055314658e-14,2.67747449965195e-12,0.442787167197196,"Positive"
"TMEM87A",266,0.442092192533485,3.73297030737037e-14,2.95062663607439e-12,0.442092192533485,"Positive"
"NT5DC1",266,0.441619099689015,4.0020671979962e-14,3.14667799320344e-12,0.441619099689015,"Positive"
"ZNF613",266,0.441230168913911,4.23741782060031e-14,3.30938900559762e-12,0.441230168913911,"Positive"
"PDGFC",266,-0.441204665256527,4.25331474044275e-14,3.30938900559762e-12,0.441204665256527,"Negative"
"ARFGAP3",266,0.440902446916528,4.44619002378694e-14,3.44153537644316e-12,0.440902446916528,"Positive"
"LYPD3",266,0.440713082260453,4.57137215155298e-14,3.52019219443557e-12,0.440713082260453,"Positive"
"ARFGEF3",266,0.440672276408639,4.59879525332331e-14,3.52314883535369e-12,0.440672276408639,"Positive"
"NDUFB4",266,0.440266130664801,4.88065746308795e-14,3.72000723678933e-12,0.440266130664801,"Positive"
"PEX11A",266,0.439602397981386,5.37802991262736e-14,4.07829385100204e-12,0.439602397981386,"Positive"
"CDCA7",266,-0.439433436251217,5.51235382092845e-14,4.15904311771971e-12,0.439433436251217,"Negative"
"PHF12",266,0.439126754771176,5.76459234093217e-14,4.32749974779828e-12,0.439126754771176,"Positive"
"TMEM136",266,0.438991585387042,5.87931596953877e-14,4.39155506344698e-12,0.438991585387042,"Positive"
"KRT15",266,-0.438623219868671,6.20340965854123e-14,4.61058392482326e-12,0.438623219868671,"Negative"
"CFAP69",266,0.438558660802951,6.26198058944571e-14,4.63107564483809e-12,0.438558660802951,"Positive"
"PIGM",266,0.43841839068734,6.39110930870276e-14,4.6947019604029e-12,0.43841839068734,"Positive"
"STK39",266,0.438392887029956,6.41486526825294e-14,4.6947019604029e-12,0.438392887029956,"Positive"
"STON1",266,0.438363557823964,6.44229133062851e-14,4.6947019604029e-12,0.438363557823964,"Positive"
"CAMKK2",266,0.438218186976876,6.5799300236765e-14,4.77172692348074e-12,0.438218186976876,"Positive"
"GARNL3",266,0.437124080075108,7.71221781057088e-14,5.56583680541635e-12,0.437124080075108,"Positive"
"HSP90B1",266,0.43667904125376,8.22541496566394e-14,5.90766702750258e-12,0.43667904125376,"Positive"
"LRIG1",266,0.43620467322642,8.8091742312025e-14,6.29666286315475e-12,0.43620467322642,"Positive"
"RNF20",266,0.435878864003341,9.23337064889137e-14,6.56844400589468e-12,0.435878864003341,"Positive"
"GOLPH3",266,0.435833595011485,9.29386725642413e-14,6.58014611107678e-12,0.435833595011485,"Positive"
"TIGD6",266,0.435771748642329,9.37714401214083e-14,6.60779030176282e-12,0.435771748642329,"Positive"
"CARMIL3",266,-0.43559971244756,9.61264648294122e-14,6.74194017881027e-12,0.43559971244756,"Negative"
"TWF1",266,0.434907174657016,1.0620526076322e-13,7.40529345080617e-12,0.434907174657016,"Positive"
"APPBP2",266,0.434882946182501,1.06575948318048e-13,7.40529345080617e-12,0.434882946182501,"Positive"
"AGPAT4",266,-0.434782206735835,1.08130830996076e-13,7.47854853819619e-12,0.434782206735835,"Negative"
"IGSF8",266,0.434224951821997,1.1714070517698e-13,8.06435481400417e-12,0.434224951821997,"Positive"
"AUH",266,0.434048338994614,1.20146361500833e-13,8.23333254339885e-12,0.434048338994614,"Positive"
"GUCY1A3",266,0.434003707594192,1.20917761928606e-13,8.24835819840841e-12,0.434003707594192,"Positive"
"MCFD2",266,0.433971828022462,1.21471722850561e-13,8.24848212574784e-12,0.433971828022462,"Positive"
"CLCN3",266,0.43392018311626,1.22374406065127e-13,8.27217761179608e-12,0.43392018311626,"Positive"
"POLR2M",266,0.433269839852971,1.34317991984593e-13,9.03863280296324e-12,0.433269839852971,"Positive"
"FANCA",266,-0.431934085797491,1.62529168549326e-13,1.08879966321004e-11,0.431934085797491,"Negative"
"LRTOMT",266,0.430867395327411,1.89142705359221e-13,1.26142985507205e-11,0.430867395327411,"Positive"
"TFCP2",266,0.430618734667919,1.95933586578431e-13,1.30091193328675e-11,0.430618734667919,"Positive"
"FBXL17",266,0.430571552901758,1.972487276532e-13,1.30384900106689e-11,0.430571552901758,"Positive"
"SND1",266,0.430247018861549,2.06531306075017e-13,1.35919435306373e-11,0.430247018861549,"Positive"
"THRB",266,0.430194098772477,2.08084890864061e-13,1.36341236167465e-11,0.430194098772477,"Positive"
"NANS",266,0.430021311493701,2.13237334653068e-13,1.3910709792062e-11,0.430021311493701,"Positive"
"USP30",266,0.42986573918366,2.17982899106992e-13,1.41584631728667e-11,0.42986573918366,"Positive"
"BICD1",266,0.429603051512606,2.26231054769236e-13,1.46305875636261e-11,0.429603051512606,"Positive"
"LIPC",266,-0.429418798972299,2.32197502701162e-13,1.49517176416063e-11,0.429418798972299,"Negative"
"MLPH",266,0.429312947409865,2.35694396536511e-13,1.50385435072232e-11,0.429312947409865,"Positive"
"MLEC",266,0.429292544483957,2.36374311804423e-13,1.50385435072232e-11,0.429292544483957,"Positive"
"MBLAC2",266,0.429286806161046,2.36565882870169e-13,1.50385435072232e-11,0.429286806161046,"Positive"
"PAQR8",266,-0.428725725698601,2.56048111829956e-13,1.62080624687615e-11,0.428725725698601,"Negative"
"ERLEC1",266,0.428253270445565,2.73661055341939e-13,1.724988399052e-11,0.428253270445565,"Positive"
"ABCC3",266,-0.42822202846527,2.74866562514437e-13,1.72530738546352e-11,0.42822202846527,"Negative"
"ETFBKMT",266,0.427398897923205,3.08563961961161e-13,1.92077078279838e-11,0.427398897923205,"Positive"
"KIF5C",266,0.42737594463156,3.09559220861701e-13,1.92077078279838e-11,0.42737594463156,"Positive"
"PDE9A",266,0.427368931125779,3.09863952509814e-13,1.92077078279838e-11,0.427368931125779,"Positive"
"MEIS1",266,-0.427308359939493,3.12507943978766e-13,1.92915544425569e-11,0.427308359939493,"Negative"
"ALDH1A3",266,0.427126008789198,3.20601443004224e-13,1.97097323334984e-11,0.427126008789198,"Positive"
"RPN2",266,0.426904126969958,3.30725844071002e-13,2.02488253466258e-11,0.426904126969958,"Positive"
"MEAF6",266,0.426733252465486,3.38734946087899e-13,2.06073288548032e-11,0.426733252465486,"Positive"
"HSPA5",266,0.426720500636794,3.39340176603627e-13,2.06073288548032e-11,0.426720500636794,"Positive"
"FKTN",266,0.426436134856964,3.53114468848406e-13,2.13563967743717e-11,0.426436134856964,"Positive"
"RAB10",266,0.426407443242407,3.54534199079201e-13,2.13563967743717e-11,0.426407443242407,"Positive"
"COPB1",266,0.426265260352492,3.61652405842178e-13,2.16976919312301e-11,0.426265260352492,"Positive"
"PDE3B",266,0.426089285116544,3.70655817439869e-13,2.21489090269368e-11,0.426089285116544,"Positive"
"LOXL3",266,-0.426056767953379,3.72343280931953e-13,2.21611006925994e-11,0.426056767953379,"Negative"
"PPM1H",266,0.425967505152536,3.77014184479368e-13,2.23500591346718e-11,0.425967505152536,"Positive"
"B3GNT8",266,-0.425885893448907,3.81334758193051e-13,2.2516837757494e-11,0.425885893448907,"Negative"
"NACA",266,0.425724582815954,3.90017320337399e-13,2.29388533406315e-11,0.425724582815954,"Positive"
"TMEM44",266,-0.425690152878486,3.91895356859621e-13,2.2958920533827e-11,0.425690152878486,"Negative"
"RAB21",266,0.425081890649881,4.26567431985982e-13,2.48925424470257e-11,0.425081890649881,"Positive"
"RBM38",266,-0.424702523746296,4.49689815814561e-13,2.60384347226889e-11,0.424702523746296,"Negative"
"TM9SF3",266,0.424702523746296,4.49689815814561e-13,2.60384347226889e-11,0.424702523746296,"Positive"
"TMEM187",266,0.424374164157479,4.70687699862193e-13,2.69553299964446e-11,0.424374164157479,"Positive"
"ADAMTS14",266,-0.424372251383175,4.70812778384601e-13,2.69553299964446e-11,0.424372251383175,"Negative"
"LCLAT1",266,0.424370338608871,4.70937889354845e-13,2.69553299964446e-11,0.424370338608871,"Positive"
"GPR39",266,-0.42353071044345,5.29109298489166e-13,3.00761904218318e-11,0.42353071044345,"Negative"
